client_id,LIMIT_BAL,AGE,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_next_month,dataset_source
UCI_012629,110000.0,28,1,2,0,0,2,0,0,0,112953.0,225099.0,221798.0,111960.0,111636.0,111733.0,12500.0,0.0,4400.0,4218.0,4323.0,4550.0,0,UCI_CREDIT_CARD
SYN_CLI_007731,281843.0,33,1,2,0,2,-1,4,2,-1,36600.0,131100.0,17100.0,172900.0,230800.0,96300.0,17600.0,85700.0,5500.0,99800.0,124700.0,7700.0,1,SYNTHETIC_CREDIT_RISK
SYN_CLI_009992,119536.0,65,3,3,-1,3,-1,-2,1,0,28800.0,32800.0,50400.0,27600.0,38400.0,105400.0,4300.0,20700.0,26600.0,9100.0,23100.0,24000.0,0,SYNTHETIC_CREDIT_RISK
UCI_008526,150000.0,36,2,1,1,2,2,4,3,2,125938.0,132110.0,142876.0,139097.0,138592.0,141447.0,9734.0,14500.0,0.0,2000.0,5300.0,5000.0,0,UCI_CREDIT_CARD
UCI_008280,90000.0,39,3,1,-1,-1,-1,-1,-1,-1,7328.0,3697.0,4487.0,3169.0,3847.0,5403.0,3784.0,4511.0,3174.0,3852.0,5417.0,4720.0,0,UCI_CREDIT_CARD
SYN_CLI_021013,179783.0,40,3,3,1,-1,0,4,3,-1,85200.0,52000.0,158800.0,84800.0,64900.0,34600.0,27700.0,33100.0,110500.0,12200.0,4100.0,20200.0,0,SYNTHETIC_CREDIT_RISK
UCI_014872,410000.0,30,1,2,0,-1,-1,0,0,-1,6972.0,3188.0,15106.0,15313.0,10959.0,8341.0,3188.0,15106.0,6000.0,0.0,8341.0,17331.0,0,UCI_CREDIT_CARD
UCI_015128,80000.0,48,2,2,0,0,0,0,0,0,74040.0,74658.0,72885.0,47663.0,48350.0,47208.0,3500.0,2500.0,2000.0,2000.0,2000.0,2000.0,0,UCI_CREDIT_CARD
UCI_009367,20000.0,29,3,2,0,0,0,0,0,0,11455.0,12866.0,5596.0,7337.0,8063.0,8769.0,2000.0,1500.0,2000.0,1000.0,1000.0,2100.0,0,UCI_CREDIT_CARD
SYN_CLI_003323,395443.0,62,2,3,-2,4,-2,0,3,2,263700.0,179900.0,93300.0,232300.0,123800.0,287300.0,85000.0,53000.0,45300.0,62000.0,20500.0,30600.0,1,SYNTHETIC_CREDIT_RISK
SYN_CLI_023391,266087.0,33,2,1,2,4,1,0,-2,1,183600.0,163200.0,25000.0,84100.0,79400.0,197600.0,62000.0,69000.0,11300.0,49800.0,29200.0,118300.0,1,SYNTHETIC_CREDIT_RISK
UCI_021820,310000.0,26,1,2,0,0,2,2,-1,2,11683.0,9624.0,9022.0,-422.0,6214.0,2360.0,3000.0,0.0,0.0,6900.0,0.0,1300.0,0,UCI_CREDIT_CARD
UCI_005027,50000.0,25,2,1,0,0,0,0,0,0,48213.0,47750.0,46153.0,45572.0,45412.0,44985.0,1800.0,1700.0,1585.0,2000.0,2000.0,1600.0,0,UCI_CREDIT_CARD
UCI_023429,200000.0,40,2,1,-2,-2,-2,-2,-2,-2,531.0,0.0,2358.0,2477.0,958.0,11312.0,0.0,2358.0,2477.0,958.0,11312.0,0.0,0,UCI_CREDIT_CARD
SYN_CLI_015298,165394.0,33,3,3,0,1,2,2,2,1,18100.0,69600.0,120700.0,73600.0,63100.0,28400.0,10900.0,5500.0,24900.0,48600.0,18000.0,13300.0,0,SYNTHETIC_CREDIT_RISK
UCI_026355,100000.0,30,2,2,0,0,2,-1,0,0,2419.0,3123.0,177.0,1170.0,390.0,0.0,2177.0,0.0,1170.0,0.0,0.0,19760.0,0,UCI_CREDIT_CARD
SYN_CLI_000196,52948.0,54,2,1,-2,3,1,0,-2,0,15200.0,32500.0,36800.0,8000.0,28400.0,23600.0,8000.0,6000.0,15900.0,2500.0,9200.0,13300.0,0,SYNTHETIC_CREDIT_RISK
SYN_CLI_017039,23166.0,60,2,1,0,-1,4,1,-2,-2,13100.0,8800.0,12100.0,10200.0,4200.0,12900.0,200.0,3900.0,1500.0,800.0,300.0,5300.0,0,SYNTHETIC_CREDIT_RISK
UCI_020732,50000.0,45,3,1,0,0,0,0,0,0,29287.0,29875.0,15028.0,5639.0,6389.0,7130.0,1600.0,1700.0,1250.0,1000.0,1000.0,1000.0,0,UCI_CREDIT_CARD
SYN_CLI_004048,131664.0,64,4,3,4,2,-1,-1,0,0,14800.0,45100.0,86300.0,96800.0,18700.0,38400.0,4100.0,15600.0,35700.0,100.0,7300.0,17800.0,1,SYNTHETIC_CREDIT_RISK
UCI_026065,210000.0,29,1,2,-1,-1,-1,-1,0,0,1383.0,484.0,971.0,3764.0,2221.0,266.0,484.0,980.0,4000.0,266.0,0.0,1913.0,0,UCI_CREDIT_CARD
SYN_CLI_012470,182520.0,46,2,3,-2,-1,3,-2,0,4,53700.0,64400.0,40100.0,92000.0,27300.0,61000.0,20900.0,28200.0,17400.0,49800.0,11800.0,3700.0,1,SYNTHETIC_CREDIT_RISK
UCI_029747,180000.0,32,1,2,-1,-1,2,-1,-1,-1,291.0,582.0,291.0,291.0,291.0,291.0,582.0,0.0,291.0,291.0,291.0,291.0,1,UCI_CREDIT_CARD
UCI_014523,30000.0,25,2,2,0,0,0,0,0,2,7204.0,7453.0,7098.0,10148.0,22070.0,23182.0,1200.0,1114.0,4000.0,13000.0,2000.0,0.0,0,UCI_CREDIT_CARD
SYN_CLI_001573,369728.0,39,4,3,3,4,-2,0,1,0,135200.0,249900.0,20800.0,153800.0,136700.0,50500.0,87800.0,12900.0,14500.0,100500.0,71500.0,22100.0,1,SYNTHETIC_CREDIT_RISK
SYN_CLI_024950,302461.0,45,3,1,-1,-1,2,0,-1,0,27900.0,189200.0,19900.0,30300.0,148000.0,178800.0,16800.0,50900.0,5100.0,16600.0,42800.0,21900.0,1,SYNTHETIC_CREDIT_RISK
UCI_019369,20000.0,39,2,1,0,0,2,2,0,-1,15299.0,14112.0,11221.0,10656.0,7928.0,580.0,1883.0,3520.0,0.0,1000.0,580.0,0.0,0,UCI_CREDIT_CARD
