client_id,LIMIT_BAL,AGE,EDUCATION,MARRIAGE,PAY_0,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,PAY_AMT1,BILL_AMT2,PAY_AMT2,BILL_AMT3,PAY_AMT3,BILL_AMT4,PAY_AMT4,BILL_AMT5,PAY_AMT5,BILL_AMT6,PAY_AMT6,default_next_month
CLI_000001,53732,33,1,1,-2,-1,-2,3,1,4,0,28000.0,2300.0,34500.0,1000.0,35400.0,18800.0,13700.0,2700.0,12100.0,300.0,16400.0,5100.0,1
CLI_000002,389238,40,2,3,3,4,2,2,2,2,3,224400.0,138700.0,139500.0,6800.0,41400.0,13500.0,269600.0,48100.0,239800.0,12500.0,196200.0,8100.0,1
CLI_000003,330740,68,3,1,-2,-2,-2,-1,1,4,4,145600.0,24100.0,209100.0,41100.0,214800.0,22000.0,107200.0,23900.0,48700.0,22200.0,262000.0,159800.0,0
CLI_000004,225050,26,2,3,3,0,-2,3,3,-1,3,103800.0,42200.0,118700.0,29200.0,73300.0,28000.0,110100.0,42400.0,181100.0,99100.0,81000.0,45900.0,1
CLI_000005,222177,26,1,1,-2,1,-1,1,0,4,3,34000.0,11300.0,137000.0,62000.0,139900.0,69700.0,103800.0,39100.0,61000.0,16000.0,119900.0,78200.0,0
CLI_000006,430712,37,4,1,4,4,3,2,4,0,1,133900.0,34500.0,266300.0,3700.0,203300.0,102300.0,398800.0,236200.0,179200.0,64000.0,163800.0,59800.0,1
CLI_000007,52113,54,1,1,-1,3,2,-2,2,-2,-1,19800.0,1900.0,7700.0,5100.0,20100.0,5800.0,34300.0,5200.0,10000.0,5100.0,6400.0,2700.0,0
CLI_000008,351710,65,1,1,4,4,0,2,-2,0,2,125800.0,60000.0,107700.0,20900.0,102000.0,59200.0,162700.0,1800.0,51200.0,2500.0,179800.0,57900.0,1
CLI_000009,108720,51,2,2,1,1,4,0,-1,2,4,31600.0,13000.0,79800.0,18000.0,31600.0,14700.0,85900.0,55000.0,58000.0,14200.0,43200.0,20900.0,1
CLI_000010,56146,48,1,1,1,3,4,3,0,4,3,25400.0,8400.0,19600.0,13200.0,29700.0,14600.0,27600.0,4300.0,11000.0,6700.0,45800.0,30500.0,0
CLI_000011,267974,68,3,1,1,0,-2,-1,-1,4,-1,140000.0,73700.0,121400.0,45800.0,25300.0,2400.0,146100.0,44400.0,111200.0,26400.0,16600.0,10700.0,0
CLI_000012,488054,30,2,2,3,-1,-2,1,3,4,0,299700.0,187300.0,222600.0,110800.0,163700.0,91300.0,97000.0,67800.0,131200.0,39600.0,290000.0,8600.0,1
CLI_000013,370518,70,4,2,-1,4,4,2,-2,1,4,70000.0,18000.0,30100.0,16700.0,122400.0,29800.0,196200.0,75100.0,265600.0,23300.0,35400.0,16300.0,1
CLI_000014,382958,38,1,2,1,2,1,-1,3,-2,-2,195800.0,113800.0,121200.0,53400.0,166200.0,71900.0,192400.0,14600.0,140100.0,26500.0,42500.0,1400.0,0
CLI_000015,361563,36,2,1,-1,-2,3,0,0,2,-1,77800.0,49300.0,163500.0,63700.0,151700.0,30100.0,66800.0,22600.0,197800.0,136500.0,74000.0,7800.0,0
CLI_000016,395171,73,3,1,3,0,2,0,2,0,-1,100700.0,3300.0,235200.0,109100.0,60700.0,18600.0,141400.0,30900.0,224300.0,114500.0,160700.0,14900.0,0
CLI_000017,261481,56,3,1,4,-1,3,3,-1,4,2,186400.0,9700.0,58700.0,33800.0,96800.0,57100.0,19800.0,9600.0,66100.0,5400.0,111400.0,44200.0,0
CLI_000018,72775,44,2,3,1,1,1,0,-2,-1,0,33400.0,17100.0,32900.0,1600.0,12100.0,5700.0,21500.0,3400.0,15300.0,7300.0,53500.0,29700.0,0
CLI_000019,421476,39,4,2,2,2,1,2,4,-1,3,323000.0,115800.0,234500.0,133700.0,181700.0,124100.0,218800.0,8000.0,225900.0,111200.0,147000.0,102500.0,1
CLI_000020,230689,45,4,1,3,-1,4,-2,2,0,-2,124900.0,34700.0,94600.0,15100.0,127800.0,71300.0,127600.0,59300.0,98200.0,20800.0,85300.0,37100.0,1
CLI_000021,255172,64,3,2,0,4,2,0,1,-1,2,75300.0,32700.0,115600.0,42000.0,124300.0,42400.0,157300.0,69600.0,133800.0,78100.0,72800.0,27900.0,1
CLI_000022,191691,29,3,3,-1,4,0,3,3,0,4,108200.0,28100.0,36900.0,20200.0,40400.0,4800.0,94300.0,58500.0,74300.0,46400.0,149200.0,90700.0,0
CLI_000023,99449,30,3,3,4,2,1,-1,0,3,2,77000.0,9500.0,56800.0,2700.0,40100.0,6000.0,40200.0,22600.0,48800.0,30000.0,58600.0,16100.0,1
CLI_000024,464114,37,2,3,2,-1,-2,1,-2,2,2,180900.0,43900.0,279900.0,43900.0,246300.0,108100.0,237000.0,107800.0,220400.0,114700.0,58500.0,18600.0,0
CLI_000025,392968,47,3,1,-2,-1,4,-2,1,-1,4,65700.0,19600.0,206500.0,74200.0,216200.0,15100.0,110000.0,35300.0,90600.0,31200.0,249600.0,145000.0,1
CLI_000026,325493,65,4,1,2,4,2,2,-1,-1,0,60200.0,20500.0,175100.0,95200.0,89400.0,6400.0,90300.0,60300.0,106700.0,31900.0,71700.0,21600.0,1
CLI_000027,207183,32,1,3,1,1,1,-2,-2,3,0,125600.0,60000.0,135300.0,48700.0,153000.0,49500.0,97600.0,52800.0,43500.0,7200.0,138800.0,7200.0,0
CLI_000028,413153,64,1,3,-1,-2,1,0,3,-1,0,147700.0,98200.0,152500.0,75200.0,287800.0,168200.0,81600.0,30000.0,200700.0,84800.0,137900.0,44400.0,0
CLI_000029,277260,70,2,1,3,0,4,3,3,2,-1,50800.0,2800.0,239900.0,27600.0,127700.0,4900.0,107100.0,55200.0,71700.0,11300.0,100700.0,4000.0,1
CLI_000030,227272,44,3,3,2,3,2,2,-1,2,0,131400.0,6000.0,172600.0,15900.0,104800.0,4700.0,86200.0,11900.0,3100.0,300.0,68200.0,29700.0,1
CLI_000031,230725,73,1,2,1,2,-1,-1,4,4,-2,56300.0,16400.0,56400.0,29600.0,91200.0,31300.0,28300.0,14200.0,58100.0,1400.0,82200.0,51000.0,0
CLI_000032,121346,70,3,3,0,3,1,2,-2,2,1,26700.0,9400.0,33500.0,19100.0,34400.0,21400.0,79600.0,31800.0,33800.0,2700.0,24000.0,6200.0,0
CLI_000033,55146,64,1,1,-1,2,-2,4,-2,4,2,8800.0,4100.0,12500.0,7200.0,25600.0,2300.0,25400.0,3700.0,31500.0,3900.0,21700.0,15000.0,1
CLI_000034,281746,41,1,2,2,-1,3,-1,3,3,0,91500.0,31100.0,108100.0,30600.0,113100.0,75800.0,47700.0,26700.0,85200.0,40600.0,33100.0,9300.0,1
CLI_000035,445066,37,2,2,3,1,2,-1,-1,1,1,34000.0,5900.0,309800.0,162500.0,45900.0,31800.0,76900.0,47400.0,11300.0,6600.0,83100.0,51300.0,1
CLI_000036,41270,68,1,3,2,1,1,-2,3,0,4,19800.0,11100.0,12900.0,5900.0,10700.0,1600.0,9300.0,4400.0,29800.0,4500.0,2500.0,1400.0,1
CLI_000037,430562,45,3,3,-2,4,3,-2,2,2,0,89300.0,48600.0,327800.0,86300.0,142300.0,60900.0,15900.0,8100.0,104200.0,45400.0,352700.0,41800.0,0
CLI_000038,415539,22,3,2,2,0,-2,1,0,-1,-2,20500.0,4100.0,102000.0,44300.0,64500.0,19600.0,132200.0,67300.0,191600.0,38700.0,132300.0,55400.0,1
CLI_000039,145612,60,3,2,1,0,-2,3,1,2,-2,24400.0,5000.0,56900.0,34200.0,99500.0,29100.0,57400.0,12700.0,81400.0,36500.0,98200.0,6800.0,0
CLI_000040,319515,40,3,1,2,-1,-2,2,3,-1,2,144500.0,90800.0,130300.0,55800.0,96200.0,700.0,211600.0,121400.0,41200.0,6500.0,66000.0,24300.0,1
CLI_000041,90962,72,3,2,0,0,1,4,4,0,3,44800.0,14200.0,84600.0,16200.0,68900.0,19600.0,56800.0,10500.0,60400.0,42000.0,39400.0,12700.0,0
CLI_000042,381462,68,3,3,0,2,-2,2,2,4,2,274700.0,64100.0,333900.0,218100.0,109100.0,1400.0,67400.0,35200.0,291200.0,183500.0,196500.0,21100.0,0
CLI_000043,353256,26,3,1,1,1,-1,2,2,-2,1,150600.0,52000.0,116800.0,68100.0,245900.0,38000.0,25700.0,4300.0,195500.0,123500.0,218000.0,127300.0,1
CLI_000044,183717,70,1,3,2,3,4,2,-1,3,0,57000.0,27700.0,45600.0,30600.0,133900.0,62700.0,96600.0,31300.0,109600.0,26000.0,67000.0,43100.0,1
CLI_000045,43280,73,3,1,3,-2,-1,0,-1,4,-2,26700.0,9700.0,15500.0,2300.0,19400.0,12300.0,17400.0,7900.0,16800.0,1400.0,16200.0,7200.0,0
CLI_000046,485642,62,1,1,4,2,4,1,0,3,-2,188000.0,96400.0,60400.0,7700.0,222500.0,100500.0,220600.0,61600.0,330900.0,171200.0,361600.0,2700.0,1
CLI_000047,228386,36,1,3,-1,4,3,1,0,2,1,31600.0,18400.0,94800.0,48500.0,82200.0,22200.0,62600.0,24600.0,99200.0,40000.0,69900.0,38000.0,0
CLI_000048,447629,57,4,2,-2,3,0,0,2,3,3,47300.0,28800.0,173400.0,61700.0,28400.0,3000.0,99400.0,1200.0,173000.0,44600.0,176100.0,63600.0,0
CLI_000049,342180,68,1,3,3,1,3,3,4,0,0,174800.0,97400.0,67500.0,4000.0,146800.0,81800.0,176000.0,72700.0,152700.0,36800.0,70900.0,27800.0,1
CLI_000050,391407,65,1,3,3,3,2,-2,3,-1,-2,90100.0,26000.0,252600.0,166300.0,163300.0,85100.0,179600.0,20900.0,137500.0,17000.0,77500.0,43200.0,1
CLI_000051,382350,44,2,1,-1,3,2,-1,4,0,3,168600.0,111900.0,248400.0,3700.0,318500.0,92900.0,111600.0,24500.0,119100.0,5600.0,21300.0,1000.0,0
CLI_000052,105372,59,4,2,-2,0,-2,3,-1,3,3,59800.0,19700.0,25000.0,9300.0,27200.0,13200.0,16200.0,10600.0,53800.0,28300.0,63800.0,3400.0,0
CLI_000053,188313,42,4,1,-2,0,-2,-2,-1,-1,-1,32200.0,6800.0,51900.0,35300.0,85700.0,4800.0,51800.0,33400.0,98300.0,11200.0,82100.0,13400.0,0
CLI_000054,238693,34,3,2,1,4,2,-2,-2,3,2,62100.0,6200.0,64700.0,43500.0,134100.0,75700.0,91500.0,31400.0,104900.0,31200.0,128500.0,31900.0,0
CLI_000055,253917,58,1,1,-1,3,0,1,3,2,1,68800.0,37200.0,197400.0,85900.0,77600.0,47800.0,54000.0,32700.0,184100.0,99000.0,149900.0,38500.0,1
CLI_000056,31463,46,3,1,-1,4,1,-1,4,4,-1,1400.0,100.0,6200.0,300.0,20400.0,4800.0,12700.0,6100.0,12000.0,8300.0,6500.0,4100.0,0
CLI_000057,277819,33,4,2,3,4,2,3,0,1,2,161600.0,95400.0,19500.0,12300.0,23500.0,3100.0,233700.0,12800.0,108000.0,36300.0,224300.0,25000.0,1
CLI_000058,85601,57,2,2,3,1,1,-2,4,-1,-1,28400.0,9400.0,9100.0,2100.0,69600.0,29800.0,35600.0,15400.0,38000.0,1700.0,47300.0,6500.0,1
CLI_000059,374254,38,2,3,1,0,0,3,4,1,3,228600.0,115000.0,21400.0,14700.0,117100.0,39300.0,266100.0,64100.0,99500.0,600.0,126900.0,5700.0,0
CLI_000060,344693,53,4,2,-2,4,-2,2,-2,0,1,81300.0,22400.0,214800.0,79000.0,49800.0,11800.0,137800.0,15200.0,143600.0,9900.0,97100.0,9300.0,0
CLI_000061,462038,40,1,2,-2,1,4,-2,2,4,3,261000.0,141000.0,253900.0,176100.0,153700.0,102300.0,165200.0,12300.0,83400.0,11600.0,255900.0,127200.0,1
CLI_000062,374933,69,4,3,2,4,0,4,4,0,0,51900.0,8600.0,207200.0,60600.0,228400.0,90900.0,178200.0,45900.0,234400.0,153400.0,275000.0,56700.0,0
CLI_000063,189654,67,2,1,0,2,3,-2,-2,-1,0,46700.0,30800.0,118200.0,70500.0,90300.0,300.0,86600.0,3600.0,87600.0,38000.0,88900.0,10600.0,0
CLI_000064,484079,47,3,2,0,3,-1,-1,3,2,3,330400.0,49800.0,218600.0,77000.0,116100.0,73900.0,88000.0,27900.0,302400.0,27900.0,251800.0,13600.0,0
CLI_000065,211316,60,2,2,3,2,0,-2,-1,1,3,81700.0,8700.0,143100.0,90500.0,92700.0,50400.0,52600.0,14800.0,102100.0,24000.0,59600.0,14000.0,1
CLI_000066,169654,30,3,2,-1,3,-2,1,4,-1,-1,108400.0,48200.0,121300.0,36900.0,25500.0,4600.0,81800.0,16300.0,89300.0,52500.0,119200.0,24600.0,0
CLI_000067,453712,75,4,1,4,-1,-2,2,4,2,-2,46500.0,28700.0,19200.0,1500.0,159000.0,79400.0,372900.0,4000.0,174100.0,300.0,271000.0,112500.0,1
CLI_000068,191525,32,2,1,4,-2,0,4,-2,-2,4,57500.0,33200.0,75700.0,13600.0,52600.0,26100.0,102200.0,64700.0,50200.0,23500.0,41600.0,8300.0,0
CLI_000069,47408,68,1,3,2,0,0,-2,3,2,1,6300.0,1600.0,19500.0,5300.0,14600.0,2000.0,11900.0,5800.0,19200.0,1500.0,10900.0,1700.0,1
