client_id,LIMIT_BAL,AGE,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,PAY_AMT1,BILL_AMT2,PAY_AMT2,BILL_AMT3,PAY_AMT3,BILL_AMT4,PAY_AMT4,BILL_AMT5,PAY_AMT5,BILL_AMT6,PAY_AMT6,default_next_month
UCI_003919,180000.0,43,3,1,-1,-1,0,0,0,0,1207.0,60267.0,60267.0,3000.0,61424.0,2154.0,61039.0,5000.0,64260.0,3000.0,64618.0,3000.0,1
UCI_023433,30000.0,33,2,1,0,0,0,0,0,0,28938.0,1800.0,30246.0,1574.0,30485.0,1300.0,30274.0,886.0,29967.0,1000.0,23477.0,686.0,0
UCI_021911,300000.0,24,2,2,0,0,0,0,0,0,16463.0,1500.0,11537.0,1500.0,9265.0,1500.0,7263.0,9433.0,14145.0,2000.0,11535.0,3000.0,0
UCI_026868,260000.0,37,1,1,0,0,0,0,0,0,257456.0,10621.0,261189.0,9948.0,264520.0,8914.0,249571.0,6986.0,202144.0,41000.0,197643.0,7222.0,0
UCI_026072,230000.0,33,1,2,1,2,-1,0,-1,0,4213.0,0.0,1922.0,5500.0,5346.0,4000.0,6971.0,11000.0,10707.0,5000.0,15392.0,5000.0,1
UCI_004670,50000.0,57,2,1,0,0,2,0,0,0,25551.0,2733.0,22957.0,759.0,18027.0,500.0,13836.0,6326.0,14966.0,3259.0,13220.0,2281.0,1
UCI_004553,380000.0,31,2,2,0,0,0,0,0,0,381530.0,32640.0,385605.0,18077.0,257188.0,12005.0,145505.0,10028.0,142529.0,28888.0,229320.0,25000.0,0
UCI_004775,80000.0,42,2,1,2,2,2,2,2,2,45691.0,2000.0,46662.0,2000.0,47595.0,1800.0,48312.0,2000.0,49392.0,2000.0,50426.0,1900.0,1
UCI_015510,80000.0,43,2,2,0,0,0,-2,-2,-2,70479.0,3300.0,71900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,0
UCI_029316,230000.0,26,2,2,-2,-2,-1,-1,0,0,-8.0,0.0,-8.0,3251.0,3243.0,20174.0,20172.0,12000.0,26446.0,46100.0,58598.0,65000.0,0
UCI_001339,80000.0,23,1,2,0,0,0,-2,-2,-2,8766.0,1600.0,4777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UCI_027052,20000.0,36,3,2,-1,0,-1,-1,0,0,16842.0,1000.0,16300.0,390.0,390.0,14536.0,14536.0,149.0,7446.0,0.0,0.0,8346.0,0
UCI_025505,220000.0,28,2,2,-1,-1,-2,-2,-2,-2,3700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
UCI_011323,50000.0,40,2,2,-1,-1,-1,-2,-2,-2,15584.0,4377.0,4377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UCI_013259,200000.0,55,2,1,1,2,2,2,2,0,181339.0,0.0,177233.0,14000.0,188461.0,7000.0,191363.0,0.0,188683.0,10000.0,196057.0,5000.0,1
UCI_022276,150000.0,30,3,2,0,0,0,0,0,0,69235.0,2500.0,69407.0,3000.0,69232.0,3067.0,71089.0,2344.0,65793.0,2419.0,66651.0,2500.0,0
UCI_005861,250000.0,40,2,2,-1,-1,-1,-1,0,0,2348.0,329.0,329.0,5000.0,-1404.0,5000.0,3596.0,5000.0,8596.0,4000.0,8941.0,3000.0,0
UCI_001919,220000.0,35,2,2,0,0,0,0,0,0,34819.0,2006.0,30937.0,2022.0,30348.0,1002.0,23459.0,1007.0,23200.0,1000.0,21281.0,1008.0,0
UCI_024830,90000.0,40,2,1,0,0,0,0,0,0,87190.0,3068.0,86135.0,3335.0,87247.0,3319.0,88943.0,3590.0,90961.0,1368.0,44522.0,1121.0,0
UCI_020210,30000.0,50,3,2,0,0,2,0,0,0,17891.0,1800.0,19087.0,1600.0,20078.0,1600.0,20935.0,1000.0,17228.0,734.0,17606.0,481.0,0
UCI_023780,180000.0,64,3,1,-2,-2,-2,-2,-2,-2,18084.0,1703.0,1703.0,3697.0,3681.0,21330.0,21325.0,2228.0,2228.0,1531.0,856.0,16934.0,0
UCI_016442,300000.0,50,5,1,-1,2,-1,-1,-1,0,528.0,0.0,264.0,264.0,264.0,264.0,264.0,517.0,517.0,11.0,528.0,264.0,0
UCI_027844,20000.0,26,3,2,1,2,0,0,0,0,18025.0,0.0,17443.0,1277.0,18117.0,1300.0,17040.0,1000.0,17763.0,799.0,17666.0,2000.0,0
UCI_021890,140000.0,25,1,2,0,0,0,0,0,0,38199.0,2000.0,38810.0,2000.0,39811.0,2000.0,41133.0,2000.0,41730.0,2000.0,42026.0,2000.0,0
UCI_021977,80000.0,25,2,2,2,2,2,0,0,0,77096.0,8000.0,83189.0,0.0,81308.0,2800.0,81847.0,3000.0,81077.0,3390.0,79885.0,7950.0,0
UCI_014029,30000.0,22,2,2,1,-1,0,0,0,0,-802.0,21286.0,19786.0,1154.0,20517.0,413.0,13167.0,372.0,10686.0,500.0,10074.0,1225.0,0
UCI_001592,50000.0,33,2,2,1,2,2,0,0,0,49617.0,1813.0,50352.0,0.0,49243.0,2169.0,49819.0,702.0,19324.0,1101.0,20103.0,529.0,0
UCI_002959,20000.0,36,2,1,1,-2,-2,-2,-2,-2,-25.0,0.0,-25.0,0.0,-25.0,0.0,-25.0,0.0,-25.0,0.0,-25.0,0.0,0
UCI_004671,500000.0,43,1,1,0,0,0,0,0,0,403800.0,17000.0,404640.0,16500.0,412082.0,15000.0,417759.0,19000.0,428608.0,18032.0,421871.0,5000.0,1
UCI_026514,280000.0,63,1,1,-2,-2,-2,-2,-2,-2,-200.0,0.0,-200.0,0.0,-200.0,0.0,-200.0,0.0,-200.0,0.0,-200.0,200.0,1
UCI_022824,100000.0,41,2,2,-1,-1,-2,-1,0,0,1023.0,0.0,0.0,0.0,0.0,50063.0,50063.0,900.0,22767.0,1000.0,23399.0,1000.0,0
UCI_023129,90000.0,35,2,1,0,0,2,0,0,0,35232.0,4000.0,38329.0,0.0,37433.0,1700.0,38507.0,1600.0,39468.0,1500.0,40183.0,4000.0,0
UCI_029315,50000.0,26,2,2,0,0,0,0,0,0,44781.0,2000.0,46033.0,2000.0,47289.0,2000.0,47462.0,2000.0,18204.0,3314.0,18322.0,1000.0,0
UCI_028745,150000.0,30,1,1,0,0,0,0,0,2,114797.0,4500.0,117393.0,4500.0,120002.0,4000.0,122013.0,11000.0,131426.0,5000.0,134676.0,3500.0,0
UCI_014179,90000.0,41,2,1,1,1,-2,-2,-2,-2,28636.0,0.0,-2364.0,0.0,-2364.0,0.0,-2364.0,0.0,-2364.0,0.0,-2364.0,0.0,1
UCI_014445,490000.0,28,1,2,0,0,0,0,0,0,422483.0,15358.0,430538.0,15049.0,392670.0,14500.0,390031.0,14000.0,396687.0,15021.0,404885.0,10664.0,0
