date,store_id,product_id,category,region,units_sold,inventory_level,promotions_holidays,weather_conditions
2025-01-01,STORE_001,PROD_001,Grocery,North,94,406,0,Sunny
2025-01-02,STORE_001,PROD_001,Grocery,North,117,383,0,Sunny
2025-01-03,STORE_001,PROD_001,Grocery,North,127,373,1,Sunny
2025-01-04,STORE_001,PROD_001,Grocery,North,105,395,0,Sunny
2025-01-05,STORE_001,PROD_001,Grocery,North,108,392,1,Sunny
2025-01-06,STORE_001,PROD_001,Grocery,North,90,410,0,Sunny
2025-01-07,STORE_001,PROD_001,Grocery,North,95,405,0,Sunny
2025-01-08,STORE_001,PROD_001,Grocery,North,95,405,0,Sunny
2025-01-09,STORE_001,PROD_001,Grocery,North,106,394,0,Sunny
2025-01-10,STORE_001,PROD_001,Grocery,North,114,386,0,Sunny
2025-01-11,STORE_001,PROD_001,Grocery,North,102,398,0,Sunny
2025-01-12,STORE_001,PROD_001,Grocery,North,93,407,0,Sunny
2025-01-13,STORE_001,PROD_001,Grocery,North,83,417,0,Sunny
2025-01-14,STORE_001,PROD_001,Grocery,North,90,410,0,Sunny
2025-01-15,STORE_001,PROD_001,Grocery,North,103,397,0,Sunny
2025-01-16,STORE_001,PROD_001,Grocery,North,109,391,0,Sunny
2025-01-17,STORE_001,PROD_001,Grocery,North,110,390,0,Sunny
2025-01-18,STORE_001,PROD_001,Grocery,North,113,387,0,Sunny
2025-01-19,STORE_001,PROD_001,Grocery,North,108,392,1,Sunny
2025-01-20,STORE_001,PROD_001,Grocery,North,89,411,0,Sunny
2025-01-21,STORE_001,PROD_001,Grocery,North,92,408,0,Sunny
2025-01-22,STORE_001,PROD_001,Grocery,North,101,399,0,Sunny
2025-01-23,STORE_001,PROD_001,Grocery,North,113,387,0,Sunny
2025-01-24,STORE_001,PROD_001,Grocery,North,116,384,0,Sunny
2025-01-25,STORE_001,PROD_001,Grocery,North,107,393,0,Sunny
2025-01-26,STORE_001,PROD_001,Grocery,North,97,403,0,Sunny
2025-01-27,STORE_001,PROD_001,Grocery,North,83,417,0,Sunny
2025-01-28,STORE_001,PROD_001,Grocery,North,84,416,0,Sunny
2025-01-29,STORE_001,PROD_001,Grocery,North,129,371,1,Sunny
2025-01-30,STORE_001,PROD_001,Grocery,North,118,382,0,Sunny
2025-01-31,STORE_001,PROD_001,Grocery,North,113,387,0,Sunny
2025-02-01,STORE_001,PROD_001,Grocery,North,110,390,0,Sunny
2025-02-02,STORE_001,PROD_001,Grocery,North,98,402,0,Sunny
2025-02-03,STORE_001,PROD_001,Grocery,North,103,397,1,Sunny
2025-02-04,STORE_001,PROD_001,Grocery,North,87,413,0,Sunny
2025-02-05,STORE_001,PROD_001,Grocery,North,93,407,0,Sunny
2025-02-06,STORE_001,PROD_001,Grocery,North,135,365,1,Sunny
2025-02-07,STORE_001,PROD_001,Grocery,North,119,381,0,Sunny
2025-02-08,STORE_001,PROD_001,Grocery,North,107,393,0,Sunny
2025-02-09,STORE_001,PROD_001,Grocery,North,92,408,0,Sunny
2025-02-10,STORE_001,PROD_001,Grocery,North,81,419,0,Sunny
2025-02-11,STORE_001,PROD_001,Grocery,North,106,394,1,Sunny
2025-02-12,STORE_001,PROD_001,Grocery,North,103,397,0,Sunny
2025-02-13,STORE_001,PROD_001,Grocery,North,112,388,0,Sunny
2025-02-14,STORE_001,PROD_001,Grocery,North,117,383,0,Sunny
2025-02-15,STORE_001,PROD_001,Grocery,North,106,394,0,Sunny
2025-02-16,STORE_001,PROD_001,Grocery,North,93,407,0,Sunny
2025-02-17,STORE_001,PROD_001,Grocery,North,77,423,0,Sunny
2025-02-18,STORE_001,PROD_001,Grocery,North,102,398,1,Sunny
2025-02-19,STORE_001,PROD_001,Grocery,North,95,405,0,Sunny
2025-02-20,STORE_001,PROD_001,Grocery,North,120,380,0,Sunny
2025-02-21,STORE_001,PROD_001,Grocery,North,119,381,0,Sunny
2025-02-22,STORE_001,PROD_001,Grocery,North,105,395,0,Sunny
2025-02-23,STORE_001,PROD_001,Grocery,North,111,389,1,Sunny
2025-02-24,STORE_001,PROD_001,Grocery,North,75,425,0,Sunny
2025-02-25,STORE_001,PROD_001,Grocery,North,90,410,0,Sunny
2025-02-26,STORE_001,PROD_001,Grocery,North,91,409,0,Sunny
2025-02-27,STORE_001,PROD_001,Grocery,North,109,391,0,Sunny
2025-02-28,STORE_001,PROD_001,Grocery,North,115,385,0,Sunny
2025-03-01,STORE_001,PROD_001,Grocery,North,105,395,0,Sunny
2025-03-02,STORE_001,PROD_001,Grocery,North,115,385,1,Sunny
2025-03-03,STORE_001,PROD_001,Grocery,North,114,386,1,Sunny
2025-03-04,STORE_001,PROD_001,Grocery,North,90,410,0,Sunny
2025-03-05,STORE_001,PROD_001,Grocery,North,113,387,1,Sunny
2025-03-06,STORE_001,PROD_001,Grocery,North,106,394,0,Sunny
2025-03-07,STORE_001,PROD_001,Grocery,North,106,394,0,Sunny
2025-03-08,STORE_001,PROD_001,Grocery,North,105,395,0,Sunny
2025-03-09,STORE_001,PROD_001,Grocery,North,87,413,0,Sunny
2025-03-10,STORE_001,PROD_001,Grocery,North,90,410,0,Sunny
2025-03-11,STORE_001,PROD_001,Grocery,North,106,394,0,Sunny
2025-03-12,STORE_001,PROD_001,Grocery,North,94,406,0,Sunny
2025-03-13,STORE_001,PROD_001,Grocery,North,113,387,0,Sunny
2025-03-14,STORE_001,PROD_001,Grocery,North,112,388,0,Sunny
2025-03-15,STORE_001,PROD_001,Grocery,North,106,394,0,Sunny
2025-03-16,STORE_001,PROD_001,Grocery,North,94,406,0,Sunny
2025-03-17,STORE_001,PROD_001,Grocery,North,99,401,1,Sunny
2025-03-18,STORE_001,PROD_001,Grocery,North,105,395,1,Sunny
2025-03-19,STORE_001,PROD_001,Grocery,North,102,398,0,Sunny
2025-03-20,STORE_001,PROD_001,Grocery,North,113,387,0,Sunny
2025-03-21,STORE_001,PROD_001,Grocery,North,132,368,1,Sunny
2025-03-22,STORE_001,PROD_001,Grocery,North,101,399,0,Sunny
2025-03-23,STORE_001,PROD_001,Grocery,North,106,394,0,Sunny
2025-03-24,STORE_001,PROD_001,Grocery,North,90,410,0,Sunny
2025-03-25,STORE_001,PROD_001,Grocery,North,94,406,0,Sunny
2025-03-26,STORE_001,PROD_001,Grocery,North,99,401,0,Sunny
2025-03-27,STORE_001,PROD_001,Grocery,North,108,392,0,Sunny
2025-03-28,STORE_001,PROD_001,Grocery,North,112,388,0,Sunny
2025-03-29,STORE_001,PROD_001,Grocery,North,99,401,0,Sunny
2025-03-30,STORE_001,PROD_001,Grocery,North,103,397,0,Sunny
2025-03-31,STORE_001,PROD_001,Grocery,North,85,415,0,Sunny
2025-04-01,STORE_001,PROD_001,Grocery,North,96,404,0,Sunny
2025-04-02,STORE_001,PROD_001,Grocery,North,98,402,0,Sunny
2025-04-03,STORE_001,PROD_001,Grocery,North,114,386,0,Sunny
2025-04-04,STORE_001,PROD_001,Grocery,North,116,384,0,Sunny
2025-04-05,STORE_001,PROD_001,Grocery,North,98,402,0,Sunny
2025-04-06,STORE_001,PROD_001,Grocery,North,124,376,1,Sunny
2025-04-07,STORE_001,PROD_001,Grocery,North,83,417,0,Sunny
2025-04-08,STORE_001,PROD_001,Grocery,North,82,418,0,Sunny
2025-04-09,STORE_001,PROD_001,Grocery,North,104,396,0,Sunny
2025-04-10,STORE_001,PROD_001,Grocery,North,112,388,0,Sunny
2025-04-11,STORE_001,PROD_001,Grocery,North,137,363,1,Sunny
2025-04-12,STORE_001,PROD_001,Grocery,North,107,393,0,Sunny
2025-04-13,STORE_001,PROD_001,Grocery,North,81,419,0,Sunny
2025-04-14,STORE_001,PROD_001,Grocery,North,80,420,0,Sunny
2025-04-15,STORE_001,PROD_001,Grocery,North,83,417,0,Sunny
2025-04-16,STORE_001,PROD_001,Grocery,North,105,395,0,Sunny
2025-04-17,STORE_001,PROD_001,Grocery,North,112,388,0,Sunny
2025-04-18,STORE_001,PROD_001,Grocery,North,138,362,1,Sunny
2025-04-19,STORE_001,PROD_001,Grocery,North,105,395,0,Sunny
2025-04-20,STORE_001,PROD_001,Grocery,North,97,403,0,Sunny
2025-04-21,STORE_001,PROD_001,Grocery,North,84,416,0,Sunny
2025-04-22,STORE_001,PROD_001,Grocery,North,87,413,0,Sunny
2025-04-23,STORE_001,PROD_001,Grocery,North,101,399,0,Sunny
2025-04-24,STORE_001,PROD_001,Grocery,North,132,368,1,Sunny
2025-04-25,STORE_001,PROD_001,Grocery,North,130,370,0,Sunny
2025-04-26,STORE_001,PROD_001,Grocery,North,101,399,0,Sunny
2025-04-27,STORE_001,PROD_001,Grocery,North,85,415,0,Sunny
2025-04-28,STORE_001,PROD_001,Grocery,North,87,413,0,Sunny
2025-04-29,STORE_001,PROD_001,Grocery,North,104,396,1,Sunny
2025-04-30,STORE_001,PROD_001,Grocery,North,87,413,0,Sunny
2025-05-01,STORE_001,PROD_001,Grocery,North,105,395,0,Sunny
2025-05-02,STORE_001,PROD_001,Grocery,North,128,372,0,Sunny
2025-05-03,STORE_001,PROD_001,Grocery,North,101,399,0,Sunny
2025-05-04,STORE_001,PROD_001,Grocery,North,83,417,0,Sunny
2025-05-05,STORE_001,PROD_001,Grocery,North,98,402,0,Sunny
2025-05-06,STORE_001,PROD_001,Grocery,North,82,418,0,Sunny
2025-05-07,STORE_001,PROD_001,Grocery,North,117,383,0,Sunny
2025-05-08,STORE_001,PROD_001,Grocery,North,130,370,1,Sunny
2025-05-09,STORE_001,PROD_001,Grocery,North,145,355,1,Sunny
2025-05-10,STORE_001,PROD_001,Grocery,North,105,395,0,Sunny
2025-05-11,STORE_001,PROD_001,Grocery,North,96,404,0,Sunny
2025-05-12,STORE_001,PROD_001,Grocery,North,85,415,0,Sunny
2025-05-13,STORE_001,PROD_001,Grocery,North,107,393,1,Sunny
2025-05-14,STORE_001,PROD_001,Grocery,North,121,379,1,Sunny
2025-05-15,STORE_001,PROD_001,Grocery,North,135,365,1,Sunny
2025-05-16,STORE_001,PROD_001,Grocery,North,116,384,0,Sunny
2025-05-17,STORE_001,PROD_001,Grocery,North,107,393,0,Sunny
2025-05-18,STORE_001,PROD_001,Grocery,North,89,411,0,Sunny
2025-05-19,STORE_001,PROD_001,Grocery,North,105,395,1,Sunny
2025-05-20,STORE_001,PROD_001,Grocery,North,98,402,0,Sunny
2025-05-21,STORE_001,PROD_001,Grocery,North,95,405,0,Sunny
2025-05-22,STORE_001,PROD_001,Grocery,North,113,387,0,Sunny
2025-05-23,STORE_001,PROD_001,Grocery,North,142,358,1,Sunny
2025-05-24,STORE_001,PROD_001,Grocery,North,129,371,1,Sunny
2025-05-25,STORE_001,PROD_001,Grocery,North,119,381,1,Sunny
2025-05-26,STORE_001,PROD_001,Grocery,North,79,421,0,Sunny
2025-05-27,STORE_001,PROD_001,Grocery,North,90,410,0,Sunny
2025-05-28,STORE_001,PROD_001,Grocery,North,98,402,0,Sunny
2025-05-29,STORE_001,PROD_001,Grocery,North,130,370,1,Sunny
